"Type","Classification","Flow_Substance","Flow_Rate_m3_day","Stabilized_Shut_In_Pressure_kPa","Source_Depth_mkb","Ground_Water_Base_mkb"
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",15,151,0,0
"Vent Flow","Non Serious","Unusable Water",0,210,0,0
"Vent Flow","Non Serious","Unusable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Other",3.54,338,695,600
"Vent Flow","Non Serious","Gas",150,310,946,278.2
"Vent Flow","Non Serious","Gas",3.81,16,139,139.4
"Vent Flow","Serious","Other",0.01,380,175,266.02
"Vent Flow","Non Serious","Gas",2.91,1026,450,517.01
"Vent Flow","Non Serious","Gas",0,54,0,382
"Vent Flow","Non Serious","Gas",0,400,0,0
"Vent Flow","Serious","Gas",34,1828,0,0
"Vent Flow","Serious","Gas",0,14,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0,125,250,0
"Vent Flow","Non Serious","Gas",2,830,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",4,25,27,574
"Vent Flow","Non Serious","Gas",0.7,0,0,101.3
"Vent Flow","Non Serious","Gas",12.01,1977,590,514.8
"Vent Flow","Non Serious","Gas",0.05,1,0,112
"Vent Flow","Serious","Condensate",24000,7322,3285,904.51
"Vent Flow/Gas Migration","Serious","Gas",4.3,13,0,127.8
"Vent Flow","Serious","Non-Saline",0.48,750,496,597.73
"Gas Migration","Non Serious","Gas",250,1400,439,375
"Vent Flow","Serious","Not Converted",0,1380,0,0
"Vent Flow","Serious","Not Converted",0,10,225,0
"Vent Flow","Non Serious","Gas",26,76,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Serious","Gas",120,1200,13.8,282.1
"Vent Flow","Non Serious","Gas",297,206,275,417
"Vent Flow/Gas Migration","Serious","Gas",4.3,870,141.5,104.2
"Vent Flow","Non Serious","Gas",180,103,264.5,263.3
"Vent Flow","Non Serious","Gas",6.79,965,0,205.9
"Vent Flow","Non Serious","Gas",7,41,241.5,240.3
"Vent Flow","Non Serious","Gas",3.48,402,802,354.1
"Vent Flow","Non Serious","Gas",3.1,1904,598,297.2
"Vent Flow","Serious","Gas",26.3,881,7.8,579.49
"Vent Flow","Serious","Gas",8,35,297,475
"Vent Flow","Serious","Crude Bitumen",0.1,1655,311,94.4
"Vent Flow","Non Serious","Gas",350,600,0,0
"Vent Flow","Non Serious","Gas",1,20,282,584.04
"Vent Flow","Serious","Gas",0,794,0,0
"Vent Flow","Serious","Gas",1,300,0,0
"Vent Flow","Non Serious","Gas",0,500,0,0
"Vent Flow","Non Serious","Gas",0,1,0,0
"Vent Flow","Non Serious","Gas",3,10,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",5,14,0,0
"Vent Flow","Non Serious","Gas",0,720,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",11,800,0,0
"Vent Flow","Non Serious","Gas",31,365,0,194.2
"Vent Flow","Non Serious","Gas",5,100,0,190.5
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",0.5,700,472,335
"Vent Flow","Non Serious","Gas",0.13,83,0,88.85
"Vent Flow","Non Serious","Gas",80,20,2330,558.5
"Vent Flow","Non Serious","Gas",1.8,214,412,143.2
"Vent Flow","Serious","Other",0.01,20,225,242.9
"Vent Flow","Serious","Gas",0.01,637,349,366
"Vent Flow","Non Serious","Gas",0,146,0,0
"Vent Flow","Non Serious","Gas",0,250,0,0
"Vent Flow","Non Serious","Gas",0,14,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",4071,1330,277,0
"Vent Flow","Non Serious","Gas",0,1200,0,0
"Vent Flow","Non Serious","Gas",0,1117,0,0
"Vent Flow","Non Serious","Gas",50,41,0,0
"Vent Flow","Non Serious","Gas",0,34,0,0
"Vent Flow","Non Serious","Gas",1,200,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3,0,0,0
"Vent Flow","Non Serious","Gas",3,960,0,0
"Vent Flow","Non Serious","Gas",0,15,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",7.18,723,89.85,137
"Vent Flow","Non Serious","Gas",0.7,2222,0,446.17
"Vent Flow","Serious","Gas",3.26,30,253,511.21
"Vent Flow","Non Serious","Gas",2.8,1012,605,600
"Vent Flow","Serious","Non-Saline",41.94,868,170,170
"Vent Flow","Serious","Gas",3,13,0,0
"Vent Flow","Serious","Gas",3,13,0,0
"Vent Flow","Serious","Gas",5,0,0,0
"Vent Flow","Non Serious","Gas",3,185,321,352.91
"Vent Flow","Serious","Gas",537,577,0,0
"Vent Flow","Non Serious","Gas",1,20,0,0
"Vent Flow","Non Serious","Gas",0,210,0,0
"Vent Flow","Non Serious","Gas",0,625,0,0
"Vent Flow","Non Serious","Gas",0,75,0,0
"Vent Flow","Non Serious","Gas",0,190,0,0
"Vent Flow","Non Serious","Gas",0,550,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,290,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,10,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3.88,1383,309,309.6
"Vent Flow","Serious","Other",2000,1500,3365,512.4
"Vent Flow","Non Serious","Gas",1,1,0,133.69
"Vent Flow","Non Serious","Gas",1.4,233,0,90.4
"Vent Flow","Serious","Gas",24.8,1428,463,82.76
"Vent Flow","Non Serious","Gas",14,34,1840,604.5
"Vent Flow","Non Serious","Usable Water",0,320,0,0
"Vent Flow","Non Serious","Usable Water",0,0,0,0
"Vent Flow","Non Serious","Gas",0,300,0,0
"Vent Flow","Non Serious","Gas",0,20,0,0
"Vent Flow","Non Serious","Gas",0,560,0,0
"Vent Flow","Non Serious","Gas",29,500,0,0
"Vent Flow","Non Serious","Gas",0,300,0,0
"Vent Flow","Non Serious","Gas",0,300,0,126.8
"Vent Flow","Non Serious","Gas",0,225,0,102.6
"Vent Flow","Non Serious","Gas",0,35,0,113.2
"Vent Flow","Non Serious","Gas",0,572,0,0
"Vent Flow","Non Serious","Gas",0,62,0,0
"Vent Flow","Non Serious","Gas",0,750,0,0
"Vent Flow","Non Serious","Gas",0,630,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,7,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",652,407,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,84,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",6,880,0,0
"Vent Flow","Non Serious","Gas",0,70,0,0
"Vent Flow","Non Serious","Gas",0,89,0,0
"Vent Flow","Non Serious","Gas",1,94,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,900,0,0
"Vent Flow","Serious","Gas",326.07,1648,1,554.81
"Vent Flow","Non Serious","Gas",0.39,76,328,195.9
"Vent Flow","Non Serious","Gas",13.5,1300,0,517.53
"Vent Flow","Serious","Gas",9.4,1168,350,397.3
"Vent Flow","Serious","Gas",38.7,800,601.5,280.3
"Vent Flow","Non Serious","Gas",0.1,1,0,271.7
"Vent Flow","Serious","Gas",11.55,634,109.3,325.2
"Vent Flow","Non Serious","Gas",198,1080,0,600
"Vent Flow","Serious","Gas",87.3,3496,422,289.3
"Vent Flow","Non Serious","Gas",0.04,60,254.5,548.9
"Vent Flow","Serious","Gas",346,400,347,270.6
"Vent Flow","Non Serious","Gas",0.4,30,272,540.2
"Vent Flow","Serious","Gas",32.5,300,821.5,549.3
"Vent Flow","Serious","Gas",32.5,300,1220,549.3
"Vent Flow","Non Serious","Gas",0,1100,0,0
"Vent Flow","Non Serious","Gas",0,5,0,0
"Vent Flow","Non Serious","Gas",1,65,0,0
"Vent Flow","Non Serious","Gas",0,55,0,0
"Vent Flow","Non Serious","Gas",0,100,0,0
"Vent Flow","Non Serious","Gas",0,110,0,0
"Vent Flow","Non Serious","Gas",1,15,0,0
"Vent Flow","Non Serious","Gas",1,8,0,0
"Vent Flow","Non Serious","Gas",0,590,0,0
"Vent Flow","Non Serious","Gas",1,840,0,0
"Vent Flow","Non Serious","Gas",0,100,0,0
"Vent Flow","Non Serious","Gas",0,1200,0,0
"Vent Flow","Non Serious","Gas",0,550,0,0
"Vent Flow","Non Serious","Gas",15,21,0,0
"Vent Flow","Non Serious","Gas",1,120,0,0
"Vent Flow","Non Serious","Gas",1,500,0,0
"Vent Flow","Non Serious","Gas",1,34,0,0
"Vent Flow","Non Serious","Gas",0,600,0,0
"Vent Flow","Non Serious","Gas",0,820,0,0
"Vent Flow","Non Serious","Gas",1,1100,0,0
"Vent Flow","Non Serious","Gas",1,200,0,0
"Vent Flow","Non Serious","Gas",1,100,0,0
"Vent Flow","Non Serious","Gas",1,250,0,0
"Vent Flow","Non Serious","Gas",0,1390,0,0
"Vent Flow","Non Serious","Gas",1,50,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,207,0,0
"Vent Flow","Non Serious","Gas",0,70,0,0
"Vent Flow","Non Serious","Gas",0,138,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",24,517,0,0
"Vent Flow","Non Serious","Gas",0,60,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",214,359,563,561.01
"Vent Flow","Non Serious","Gas",255,414,4.5,343
"Vent Flow","Non Serious","Gas",62.1,216,0,94.71
"Vent Flow","Non Serious","Gas",0.5,189,205,203.4
"Vent Flow","Non Serious","Gas",3.6,1204,0,126.81
"Vent Flow","Non Serious","Gas",168,441,367,658
"Vent Flow","Serious","Gas",1.3,1570,333,136.67
"Vent Flow","Serious","Gas",4.5,100,306,50.81
"Vent Flow","Serious","Gas",57,200,5.5,187.5
"Vent Flow","Non Serious","Gas",0,500,267,0
"Vent Flow","Non Serious","Gas",1,140,0,0
"Vent Flow","Non Serious","Gas",162,333,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",14,2213,0,0
"Vent Flow","Non Serious","Gas",1.1,764,0,168
"Vent Flow","Non Serious","Gas",0.14,120,2037,365.3
"Vent Flow","Serious","Non-Saline",50,4777,1942,600
"Vent Flow","Non Serious","Gas",0.72,2,0,89.91
"Vent Flow","Non Serious","Gas",112,159,423,453.16
"Vent Flow","Non Serious","Gas",1.7,158,0,122.6
"Vent Flow","Non Serious","Gas",0.3,791,0,97.6
"Vent Flow","Serious","Gas",0.24,140,250,517.51
"Gas Migration","Non Serious","Gas",1.2,2,258,109.6
"Vent Flow","Serious","Crude Oil",1,535,500,213
"Vent Flow","Serious","Non-Saline",0.16,224,450,374.9
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",41,47,358,0.1
"Vent Flow","Non Serious","Gas",1,600,0,0
"Vent Flow","Non Serious","Not Converted",1,20,0,0
"Vent Flow","Non Serious","Gas",1,42,0,0
"Vent Flow","Non Serious","Gas",1,28,0,0
"Vent Flow","Non Serious","Not Converted",0,260,0,0
"Vent Flow","Non Serious","Not Converted",0,40,0,0
"Vent Flow","Non Serious","Gas",0,350,0,0
"Vent Flow","Non Serious","Gas",0,200,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,80,0,0
"Vent Flow","Non Serious","Gas",0,195,0,0
"Vent Flow","Non Serious","Not Converted",0,140,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,8,0,0
"Vent Flow","Non Serious","Gas",0,10,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",0,2340,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",11,931,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",40,900,4,310.7
"Vent Flow","Non Serious","Gas",0.34,67,216,338.5
"Vent Flow","Non Serious","Gas",5.52,344,702,94.48
"Vent Flow","Non Serious","Gas",2,447,202,84.09
"Vent Flow","Non Serious","Gas",0.85,43,310,313.8
"Vent Flow","Non Serious","Gas",1,1,271,0
"Vent Flow","Non Serious","Gas",0,250,0,0
"Vent Flow","Non Serious","Gas",1,1,249,0
"Vent Flow","Non Serious","Gas",35,828,0,0
"Vent Flow","Non Serious","Gas",1,28,270,0
"Vent Flow","Non Serious","Gas",0,30,0,0
"Vent Flow","Non Serious","Gas",1,497,0,132.2
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,228,0,0
"Vent Flow","Non Serious","Gas",1,69,0,0
"Vent Flow","Non Serious","Gas",16,827,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,207,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",141.06,181,0,124.2
"Vent Flow","Non Serious","Gas",90.7,1102,0,305.8
"Vent Flow","Non Serious","Gas",2.5,148,555,587
"Vent Flow","Non Serious","Gas",0.07,788,0,127.86
"Vent Flow","Non Serious","Gas",0.04,73,0,150.1
"Vent Flow","Serious","Gas",0.11,100,215,195.2
"Vent Flow","Serious","Saline",0.04,103,257,555.7
"Vent Flow","Serious","Gas",0.5,1310,170,97.69
"Vent Flow","Serious","Gas",2446,589,361,600
"Vent Flow","Serious","Non-Saline",0.2,2400,470,529.3
"Vent Flow","Non Serious","Gas",1,40,0,0
"Vent Flow","Non Serious","Gas",0,34,0,0
"Vent Flow","Serious","Gas",6.37,108,187,50
"Vent Flow","Non Serious","Gas",38.15,1034,300,114
"Vent Flow","Non Serious","Gas",1.6,850,354,195
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,40,340,0
"Vent Flow","Non Serious","Gas",0,120,0,0
"Vent Flow","Serious","Gas",537,1215,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,131,0,0
"Vent Flow","Non Serious","Gas",268,458,0,0
"Vent Flow","Serious","Gas",9999,1110,0,0
"Vent Flow","Non Serious","Gas",203,425,0,0
"Vent Flow","Non Serious","Gas",0,137,326,0
"Vent Flow","Non Serious","Gas",2,75,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,206,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0.3,538,0,138.9
"Vent Flow","Non Serious","Gas",0.65,135,0,158
"Vent Flow","Serious","Usable Water",0.16,500,507,578.64
"Vent Flow","Non Serious","Gas",0.7,27,1,447
"Vent Flow","Non Serious","Gas",84.1,972,390,282
"Vent Flow","Serious","Saline",10,600,14,539.79
"Vent Flow","Non Serious","Gas",10.3,1140,304,285.5
"Vent Flow","Non Serious","Gas",30,732,406,127.1
"Vent Flow","Non Serious","Gas",67.97,70,187.5,251.1
"Vent Flow","Non Serious","Gas",5.59,1076,360,206.2
"Vent Flow","Non Serious","Gas",1.36,671,491,195
"Vent Flow","Serious","Gas",368.71,1910,0.5,275.3
"Vent Flow","Non Serious","Gas",164.41,310,860,514.7
"Vent Flow","Serious","Gas",187.06,53,645,606.7
"Vent Flow","Non Serious","Gas",0,175,0,0
"Vent Flow","Non Serious","Gas",0,150,0,0
"Vent Flow","Non Serious","Gas",75,0,0,0
"Vent Flow","Non Serious","Gas",0,150,0,0
"Vent Flow","Non Serious","Gas",25,1554,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",4,350,0,0
"Vent Flow","Non Serious","Gas",1,149,0,0
"Vent Flow","Non Serious","Gas",0,773,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,95,0,0
"Vent Flow","Non Serious","Gas",17,1005,0,0
"Vent Flow","Non Serious","Not Converted",0,0,0,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",12.02,215,422,600
"Vent Flow","Non Serious","Gas",0.93,482,0,167.8
"Vent Flow","Non Serious","Gas",0.03,700,188,300.45
"Vent Flow","Non Serious","Gas",0.3,75,590,93.4
"Vent Flow","Non Serious","Gas",1.48,595,337.5,169.3
"Vent Flow","Non Serious","Gas",2.2,1058,0,112.5
"Vent Flow","Non Serious","Gas",0.04,112,440,77.78
"Vent Flow","Non Serious","Gas",271.84,359,182,360.11
"Vent Flow/Gas Migration","Serious","Gas",2.4,190,90,268
"Vent Flow","Serious","Gas",81,471,0,0
"Vent Flow","Serious","Gas",7,125,0,0
"Vent Flow","Serious","Gas",207,194,0,0
"Vent Flow","Serious","Gas",0,927,0,0
"Vent Flow","Serious","Gas",115,95,600,600
"Vent Flow","Non Serious","Gas",0,23,0,0
"Vent Flow","Non Serious","Not Converted",0,3,0,0
"Vent Flow","Non Serious","Gas",0,60,0,0
"Vent Flow","Non Serious","Not Converted",0,230,0,0
"Vent Flow","Serious","Gas",3,3300,0,0
"Vent Flow","Non Serious","Gas",1,700,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3,819,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1.03,222,319,226.17
"Vent Flow","Non Serious","Gas",3.1,103,316.5,313.3
"Vent Flow","Non Serious","Gas",0.2,991,0,146.96
"Vent Flow","Serious","Gas",24.2,6647,8.5,600
"Vent Flow","Serious","Other",0.31,315,304,92.29
"Vent Flow","Non Serious","Gas",0.65,22,819,354.1
"Vent Flow","Serious","Gas",1.4,474,499.5,93.34
"Vent Flow","Non Serious","Gas",1,400,971,521.4
"Vent Flow","Serious","Usable Water",29,57,560,600
"Vent Flow","Serious","Non-Saline",3.5,70,250,680.7
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",3,300,0,188.4
"Vent Flow","Non Serious","Gas",0,241,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,15,0,0
"Vent Flow","Non Serious","Gas",0,689,0,0
"Vent Flow","Non Serious","Gas",1,3500,825,0
"Vent Flow","Non Serious","Gas",0,70,0,0
"Vent Flow","Non Serious","Gas",9,1140,385,156.4
"Vent Flow","Non Serious","Gas",0.2,122,0,110
"Vent Flow","Non Serious","Gas",5.63,94,254,330.4
"Vent Flow","Non Serious","Gas",0.7,1112,0,128.7
"Vent Flow","Serious","Saline",2.1,190,330,196.74
"Vent Flow","Non Serious","Gas",1.6,247,2756.12,600
"Vent Flow","Serious","Gas",48,2024,1375,589.12
"Vent Flow","Serious","Gas",5.44,684,522.3,211.1
"Vent Flow","Serious","Gas",2303.43,328,0.5,264
"Vent Flow","Serious","Gas",1000,1000,649.5,426.4
"Vent Flow","Serious","Gas",1,238,5,496.02
"Vent Flow","Non Serious","Gas",0.1,264,553.5,12.58
"Vent Flow","Non Serious","Gas",193.54,950,508,100
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",0,140,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,384,0,0
"Vent Flow","Serious","Gas",1700,1448,350,0
"Vent Flow","Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0.16,981,0,344.01
"Vent Flow","Non Serious","Gas",0.98,480,731,60.9
"Vent Flow","Non Serious","Gas",33.81,901,0,197
"Vent Flow","Non Serious","Gas",12.28,705,250,363.95
"Vent Flow","Non Serious","Gas",8.23,343,587,214
"Vent Flow","Serious","Gas",315,2200,115.5,247.68
"Vent Flow","Serious","Other",1.8,1280,175,310.38
"Vent Flow","Non Serious","Gas",80,465,0,0
"Vent Flow","Serious","Gas",12,725,215,307.95
"Vent Flow","Non Serious","Gas",1,1185,0,0
"Vent Flow","Non Serious","Gas",1,301,0,86.4
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,172,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",0,418,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Gas Migration","Non Serious","Gas",0,0,0,62.02
"Vent Flow","Non Serious","Gas",5,520,184,300
"Vent Flow","Serious","Saline",0.5,442,310,357.31
"Vent Flow","Serious","Non-Saline",0.01,0,1380,580.8
"Vent Flow","Non Serious","Gas",1,75,0,0
"Vent Flow","Non Serious","Gas",1,1,0,110
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",4,0,0,0
"Vent Flow","Non Serious","Gas",1,7,0,0
"Vent Flow","Non Serious","Gas",1,4,0,0
"Vent Flow","Non Serious","Gas",145,535,0,0
"Vent Flow","Non Serious","Gas",1,14,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,83,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",13,290,0,0
"Vent Flow","Non Serious","Gas",1,14,0,0
"Vent Flow","Non Serious","Gas",0,62,0,0
"Vent Flow","Non Serious","Gas",1,138,0,0
"Vent Flow","Non Serious","Gas",1,34,0,92
"Vent Flow","Non Serious","Gas",1,3,0,134
"Vent Flow","Non Serious","Gas",1,21,0,0
"Vent Flow","Non Serious","Gas",1,4,0,0
"Vent Flow","Non Serious","Gas",0,35,0,0
"Vent Flow","Non Serious","Gas",1,7,0,0
"Vent Flow","Non Serious","Gas",6,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",3,14,0,160
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,3,0,0.01
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,19,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,25,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,110,0,0
"Vent Flow","Non Serious","Gas",1,1,0,110
"Vent Flow","Non Serious","Gas",1,1,0,230
"Vent Flow","Non Serious","Gas",1,7,0,0
"Vent Flow","Non Serious","Gas",1,4,0,0
"Vent Flow","Non Serious","Gas",1,4,0,147
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",1,7,0,135
"Vent Flow","Non Serious","Gas",1,7,0,115
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,1,0,230
"Vent Flow","Non Serious","Gas",1,1,0,110
"Vent Flow","Non Serious","Gas",1,0,0,160
"Vent Flow","Non Serious","Gas",1,3,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,0,0,0
"Vent Flow","Non Serious","Gas",1,1,0,0
"Vent Flow","Serious","Saline",1,442,525,319.9
"Vent Flow","Non Serious","Gas",0,970,0,0
"Vent Flow","Non Serious","Gas",8,25,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",9,1126,207,460.5
"Vent Flow","Non Serious","Gas",15.32,1445,450,249.51
"Vent Flow","Non Serious","Gas",0.41,17,306,223.15
"Vent Flow","Serious","Other",0.02,1033,920,600
"Vent Flow","Non Serious","Gas",4.89,329,345,213.66
"Vent Flow","Non Serious","Gas",0.1,1,0,76.55
"Vent Flow","Non Serious","Gas",0.05,170,127,142.82
"Vent Flow","Non Serious","Gas",39.64,349,474,215.9
"Vent Flow","Non Serious","Gas",25,411,188,369.6
"Vent Flow","Serious","Gas",428,2400,152.6,122.61
"Vent Flow","Non Serious","Gas",1.5,105,600,160
"Vent Flow","Non Serious","Gas",0.52,41,500,600
"Vent Flow","Non Serious","Gas",200,470,590,373
"Vent Flow","Serious","Gas",0,500,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",151,1400,0,600
"Vent Flow","Serious","Gas",19,1427,0,0
"Vent Flow","Non Serious","Gas",1,165,0,0
"Vent Flow","Non Serious","Gas",0,1600,0,163.3
"Vent Flow","Non Serious","Gas",1,55,0,0
"Vent Flow","Non Serious","Gas",1,20,0,0
"Vent Flow","Non Serious","Gas",1,70,0,0
"Vent Flow","Non Serious","Gas",0,10,0,0
"Vent Flow","Non Serious","Gas",1,45,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Non Serious","Gas",203,40,0,0
"Vent Flow","Serious","Gas",769,280,0,0
"Vent Flow","Non Serious","Gas",0,0,0,0
"Vent Flow","Serious","Gas",37,128,0,0
